Name,Deliberative model (categorised by OECD),Deliberative model (named by organisers),Ad hoc or Institutionalised?,"If institutionalised, is there a legal document establishing its functioning? (i.e. terms of reference)",Institutionalisation regulations URL,Project name,Project description,"Was there a dedicated committee/group set up in relation to the deliberative process? (i.e. expert group, advisory committee)",Advisory committee members,The  role of the advisory committee,Project URL,Year(s) of project,Country,OECD member?,Level of government,Place (Country/State/Region/City),Implementing organisation,Organisation URL,Organisation type,Issue category,Was the Jury/Assembly/Panel independent with mandate to set its rules of procedure?,Number of panels of the deliberative process,Total number of participants,Participant selection method,Participant selection methodology details,What was the method for participant selection?,Who was the invitation to participate from?,Response rate to invitation,Duration of participant selection process (in weeks),Duration of preparation/planning/agenda setting phase before 1st participant meeting (in weeks),Remuneration of participants,Which stakeholders were involved in the process design?,What did the stakeholders bring to the table?,"Was a dedicated online platform/tool used to keep participants up to date, informed and connected during the process?",Name of the platform for participant communication,How has process been communicated?,Elected officials part of the panel,"If yes, how many elected officials?",Total duration of face-to-face/hybrid/online meetings (in days),Total duration between 1st participant meeting date and last meeting date (in weeks),Was there an initial survey to measure the beliefs of participants?,Learning component of the process,"Was there a connection to other forms of engagement? If so, what were they?",Please provide further details on other forms of engagement,Outcome,Outcome (file number),Were final recommendations discussed face-to-face with the public authority?,Response and followup,Was there a change in administration during the period when deliberative process took place?,Implementation is being monitored,"If yes, how is implementation being monitored?",Has the process been evaluated?," If yes, how?",Evaluation link if applicable,Challenges encountered,Lessons learned,Total cost (not mandatory to fill in),Currency,Funding source(s),Online/hybrid,"Platform used if online, additionnal informations",latitude,longitude,Anything else?,Attachments 2,Included in the report
Improving the neighborhood in Sparrplatz,Planning Cell,Planning Cell,Ad hoc,,,Improving the neighborhood in Sparrplatz,"To identify action points and proposed solutions for improving the living conditions in the neighborhood from the point of view of the residents as the actual ""neighborhood experts""",,,,http://pzdb.jazzpis.space/cells/34,2000,Germany,Yes,Local Government,Berlin - Wedding,Nexus Institute,https://www.nexusinstitut.de/,Private sector,Urban planning,,4,71,Two-stage random selection (e.g. civic lottery),,,,,,,Remunerated,,,,,,No,,4,,,,,,,15 Germany (in german),,,,,,,,,,,,,"Budget of the Senate Department for Urban Development, District Office Wedding of Berlin",Face-to-face,,52.5427866,13.3669996,,,checked
Magdeburger Platz neighborhood management,Planning Cell,Planning Cell,Ad hoc,,,Magdeburger Platz neighborhood management,To help identify strengths and weaknesses and provide ideas for the neighborhood,,,,http://pzdb.jazzpis.space/cells/45,2000,Germany,Yes,Local Government,Berlin,Nexus Institute,https://www.nexusinstitut.de/,Private sector,Urban planning,,3,55,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of the Senate Department for Urban Development,Face-to-face,,52.5170365,13.3888599,,,checked
Downtown Neuss 2010,Planning Cell,Planning Cell,Ad hoc,,,Downtown Neuss 2010,To develop recommendations on the design of downtown Neuss and its accessibility.,,,,http://pzdb.jazzpis.space/cells/36,2000,Germany,Yes,Local Government,Neuss,The Institute for Participation and Democracy Research  of the University of Wuppertal  ,http://www.idpf.eu/,Academia,Urban planning,,8,199,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of the City of Neuss,Face-to-face,,51.1981778,6.6916476,https://rp-online.de/nrw/staedte/neuss/mehr-tempo-und-gestaltungswille_aid-8527937,,checked
Urban development plan for Regensburg,Planning Cell,Planning Cell,Ad hoc,,,Urban development plan for Regensburg,To provide input for the revised version of the urban development plan for Regensburg,,,,http://pzdb.jazzpis.space/cells/37,2000,Germany,Yes,Local Government,Regensburg," Citizen-consult, Institute for citizens expertise GmbH",,,Urban planning,,9,227,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of the City of Regensburg,Face-to-face,,49.0195333,12.0974869,,,checked
"Container deposit legislation in New South Wales, Australia",Citizens' Jury,Citizens' panel,Ad hoc,,,"Container deposit legislation in New South Wales, Australia",The Institute for Sustainable Futures convened a citizens’ panel as part of its social research on the subject of container deposit legislation.,"Yes, a Steering Committee","Academics,Government representatives,Expert practitioners","Oversight,Design and facilitation",,2001,Australia,Yes,Regional/State,"New South Wales, Australia","Institute for Sustainable Futures, University of Technology Sydney",https://www.uts.edu.au/isf,Research,Environment,checked,1,12,Two-stage random selection (e.g. civic lottery),"Random mailing by the Institute for Sustainable Futures, then the panel was chosen to match a profile to
ensure a cross-section of the population according to sex, educational qualifications, age, area of residence, household structure, ethnicity and employment.",Post,Other (please specify in participant selection methodology details),,,,,"Public Officials,Academics",Present various perspectives to citizens,,,,No,,2,0,,"Experts available at meetings for presentations and/or questions,Participants can request information",Surveys (online/offline),400 people televoted,The panel’s final report was incorporated into the global report delivered to the Minister.,,,None of the recommendations implemented,,,"After 16 years, a new government implemented many  (>50%) recommendations.",checked,Academic analysis,https://www.jstor.org/stable/4532648?seq=5#metadata_info_tab_contents,"Originally, policy actors expressed concerns at the idea of expanding public participation. At the end, no private stakeholders were presented to the citizen panel. Subsequently, it was transformed into a citizens' forum.",Good combination of small-scale and large-scale processes. But a deliberative process does not have to come into conflict with existing participatory storylines.,15000,AUD,New South Wales Ministry for the Environment,Face-to-face,,-33.8525724,151.0757408,"Source: database from An inventory of democratic deliberative processes in Australia1
: Early finding
Lyn Carson",https://www.jstor.org/stable/4532648?seq=5#metadata_info_tab_contents,
"Citizens' panel on spatial planning, mobility and sustainable development in Walloon Brabant (Belgium)",Citizens' Jury,Citizens' panel,Ad hoc,,,Which Walloon Brabant for tomorrow?,Guide Walloon policy in relation to the revision of sector plans; set up a pilot project for citizen deliberation; encourage the population to take an interest in and learn about a complex topic directly affecting their area of life.,Monitoring committee + Scientific accompanying committee,"Academics,Government representatives","Oversight,Ensuring balanced information,Design and facilitation",https://www.futuregenerations.be/en/citizens-panel-spatial-planning-mobility-and-sustainable-development-2001,2001,Belgium,Yes,Regional/State,"Walloon Brabant, Belgium",Foundation for Future Generations,https://www.futuregenerations.be/,Independent public benefit foundation,Urban planning,checked,3,62,Two-stage random selection (e.g. civic lottery),"Recruitment was carried out by the polling company Sonecom, which called 3,300 people in its contact database, 131 of whom showed interest in the project. In the end, 62 people were selected at random from these 131, according to age, gender, professional status. 
In some areas (a minority), the participants received a letter in advance with press articles from the launch press conference (with the 2 ministers commissioning the panel), what made the recruitement easier.",Phone,Minister,4.00%,2,,Remunerated,"Academics,Public Officials,Public independant institution","Public officials (representatives from the 2 Ministerial cabinets and relevant regional public administrations): commissioning the citizens panel + general oversight in line with the subsidies; public independant institution (Maison de l'Urbanisme): help with identifying a varied and balanced group of resource persons on the theme, help with logistics; Academics and foreign experienced practitioner: help and oversight regarding each stage of the process (selection, hearing, deliberation).",,,Outreach was ensured through: Press conference at the launch. Public event for the disclosure of the citizens report. Media coverage. Dissemination of results and later of a vade-mecum to a variety of stakeholders.,No,,4,10,,"Experts available at meetings for presentations and/or questions,Participants can request information,Learning sessions","Opening events,Surveys (Roundtable discussionsonline/offline),Advisory Committees,Public hearings","There was an opening event, partly open to the media, partly reserved to the panelists. There were interactions between panelist citizens and Maison de l'Urbanisme (among others) to help select resource persons. Written surveys were filled by participants once a day and used to steer the process.",Final citizen report communicated to the 2 commissioning ministers as well as to other members of the Walloon government. Video of the process. Vade-mecum detailing the process.,Final citizen report. It was communicated to the 2 commissioning ministers as well as to other members of the Walloon government (+ Video of the process. + Vade-mecum detailing the process),checked,Public response to recommendations,,,"The implementation was not monitored, especially so as the main driver of the citizens panel, the scheduled change of policy in land use planning in the Walloon region (the 'révision des plans de secteurs'), was completely cancelled by the public authorities and never took place (even as of 2021).",checked,"Participant exit survey,Process reflection by the organisers,Participant feedback session",https://www.futuregenerations.be/sites/www.futuregenerations.be/files/20021211_fgf_paneldecitoyensbrabantwallonvademecum.pdf,"The challenges are described in the vade-mecum, not enough space here. Here are some more details on each evaluation method: 1) Participant exit survey: Anonymous evaluation forms were filled by citizen participants once a day on multiple questions (assessing how they felt, the quality of information brought to them, several questions on the work in small groups, the planning of each day). Every morning, a moderator synthetised the evaluations and signaled how organisers, resource persons and panelist citizens could take key elements from the evaluations into account. In the end, questions were also asked on how the panel possibly modified participants' views on the themes of the panel, and on their interest about participation in public decision-making. As it was the first citizens' jury/panel in Belgium (first citizens' deliberation based on randomly selected citizens, getting access to a balanced panel of stakeholders and experts), a developmental evaluation modus was decided ('ongoing' evaluation that steers social innovation processes in real time). The resource persons (experts, stakeholders bringing information to the panelists also took part to the evaluation through exit surveys, although with different questions. 2) Process reflexion by the organisers: A detailed 'vade-mecum' on the whole initiative and process was made public, to help organise similar initiatives in the future. 3) Participant feedback session: On 7 December 2001, more than 6 months after delivering their citizen report, panelist citizens came back together to review the initiative.","Lessons learned from the initiative and its evaluation are synthetised in the vade-mecum, there is not enough space here to sum them up. They deal with the operational dimensions (moderating process,  involvement of resource persons, etc.), but also the wider issues (legitimacy of such processes, their role in public decision making and democracy, etc.).",,,"Walloon regional Ministry of Spatial Planning, Walloon regional Ministry of Mobility",Face-to-face,,50.6991109,4.590246902,"Source : Vrydagh Julien, Devillers Sophie, Talukder David et al., « Les mini-publics en Belgique (2001-2018) : expériences de panels citoyens délibératifs », Courrier hebdomadaire du CRISP, 2020/32-33 (n° 2477-2478), p. 5-72.",https://www.cairn.info/revue-courrier-hebdomadaire-du-crisp-2020-32-page-5.htm#pa22,
Planning cells on Osnabrueck's 'new market' development,Planning Cell,Planning cell,Ad hoc,,,Bürgergutachten zur Funktion und Gestaltung des Neumarkt in Osnabrück,How can the 'new market' area be developed?,"Yes, a scientific committee",Academics,"Oversight,Design and facilitation",https://idpf.uni-wuppertal.de/fileadmin/idpf/B%C3%BCrgergutachten_Neumarkt_Osnabr%C3%BCck.pdf,2001,Germany,Yes,Local Government,"Osnabrueck, Lower Saxony, Germany",forum b - Office for Participation ,https://idpf.uni-wuppertal.de/,Business,Urban planning,,6,129,Random selection (stages unclear),Selected at random from the population register.,Post,Mayor,,,,,Academics,The methodological design of the planning cells. ,,,"Regional media, official gazette",,,4,,,"Experts available at meetings for presentations and/or questions,Participants can request information",,,"A written report with policy recommendations (e.g.: traffic-free pedestrian precinct except for public transportation, better bicycle infrastructure, greener areas) was handed over to political authorities. ",,checked,,,,,,,,,,,,,Face-to-face,,,,,,
Metro Solid Waste Citizens' Jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Metro Solid Waste Citizens' Jury,To provide recommendations what should be done in the metro region regarding solid waste.,"Yes, Advisory Committee","Government representatives,NGO's,Business","Ensuring balanced information,Providing expert knowledge,Oversight,Design and facilitation",,2001,USA,Yes,Regional/State,Twin Cities metropolitan area,Jefferson Center,https://jefferson-center.org/about-us/,Non-Governmental Organisation,Public services,,1,18,Single stage random selection (e.g. polling company recruitment),700 citizens randomly selected and contacted. From those 269 agreed to receive information to participate. 18 jurors out of those were selected to participate. ,Phone,,3.00%,,,,,,,,,No,,5,0,,"Experts available at meetings for presentations and/or questions,Introductory reading material before 1st meeting",,,,https://jefferson-center.org/wp-content/uploads/2012/10/Metro-Solid-Waste.pdf,,,,,,,,,,,,,Budget of the Solid Waste Management Coordinating Board (SWMCB),Face-to-face,,,,,,checked
Reid Highway Extension Citizens' Jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Reid Highway Extension Citizens' Jury,"This citizens' jury in Western Australia was convened in order to help the state government decide whether and how to extend a local highway. Given that local residents did not wish to have a highway exit near their homes, the topic had become a contentious one.","Yes, a Steering Team","Citizens,Business,NGO's,Government representatives",Oversight,http://21stcenturydeliberation.com/index.php?package=Initiatives&action=Link&file=reid_hwy_extension.html,2001,Australia,Yes,Regional/State,Western Australia,21st Century Dialogue,http://21stcenturydeliberation.com,Private sector,Infrastructure,,1,12,Two-stage random selection (e.g. civic lottery),"First, invitations were sent to a random sample of 250 residents from the surrounding area. Addresses were provided by the WA electoral commission. Out of the 40 people that responded, a sample of 12 jurors was stratified to ensure that that suburbs were equally represented, that there was a 50/50 mix of male and female and a mix of ages",Post,,5.00%,6,,,,Contributed presentations,,,Local paper,No,,2,1,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions,Participants can request information",Call for submissions/proposals,152 online community submissions received,"The jury reached a unanimous decision to fully open the intersection at Everingham Street, with accompanying safety measures. ",not available,,Implementation of all recommendations,,,,,,,,,,,Budget of the WA government department of planning and infrastructure (DPI),Face-to-face,,-25.2303005,121.0187246,The issue ceased to be controversial in the community and complaints from adjoining suburbs ceased. This is considered a very good example of a citizens jury.,,checked
Consumer protection in Bavaria,Planning Cell,Planning Cell,Ad hoc,,,Consumer protection in Bavaria,To discuss issues of consumer protection,,,,http://pzdb.jazzpis.space/cells/33,2001,Germany,Yes,Regional/State,Bavaria,The Institute for Participation and Democracy Research  of the University of Wuppertal  ,http://www.idpf.eu/,Academia,Other,,18,425,Two-stage random selection (e.g. civic lottery),,,,3.00%,,,,,,,,,No,,4,,,,,,,14 Germany (in german),,,,,,,,,,,,,Budget of the Bavarian Ministry of Health and Consumer Protection,Face-to-face,,48.9467562,11.4038717,,,checked
Urban development of the Neumarkt in Osnabrück,Planning Cell,Planning Cell,Ad hoc,,,Urban development of the Neumarkt in Osnabrück, To produce recommendations in which direction the city center should develop in the future in order to solve the problem of urban development,,,,http://pzdb.jazzpis.space/cells/28,2001,Germany,Yes,Local Government, Osnabrück,Forum B,,,Urban planning,,6,129,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,,,,,12 Germany (in german),,,,,,,,,,,,,Budget of City of Osnabrück,Face-to-face,,52.2719595,8.047635,,,checked
Planning cells on consumer protection in Bavaria,Planning Cell,Planning cell,Ad hoc,,,Bürgergutachten zum Verbraucherschutz in Bayern,What are the wishes and demands from consumer protection?,"Yes, a scientific committee",Academics,"Design and facilitation,Oversight",https://idpf.uni-wuppertal.de/fileadmin/idpf/Verbraucherschutz_Bayern.pdf,2002,Germany,Yes,Regional/State,"Bavaria, Germany",The Institute for Participation and Democracy Research of the University of Wuppertal,https://idpf.uni-wuppertal.de/,ACademics,Legislative reform,,18,425,Random selection (stages unclear),Selected at random from the population register.,Post,Minister,,,,,Academics,The methodological design of the planning cells. ,,,"Media, official gazette",,,4,,,"Experts available at meetings for presentations and/or questions,Participants can request information",,,"A written report with policy recommendations (e.g.: elucidation, conservation, nutrition) was handed over to political authorities. ",,checked,,,,,,,,,,,,Bavaria lander budget,Face-to-face,,49.4599001,11.0825896,,,
Consensus conference: How can we assign value to the environment?,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference: How can we assign value to the environment?,To discuss how can we determine the price of environmental benefits and pollution so that these factors come to form part of an economic analysis in an acceptable way?,"Yes, a dedicated committee","Academics,NGO's","Providing expert knowledge,Ensuring balanced information,Design and facilitation,Oversight",http://www.tekno.dk/project/how-can-we-assign-value-to-the-environment/?lang=en,2002,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Environment,,1,14,Random selection (stages unclear),,,,,,12-14 weeks,Non-remunerated,,,,,,,,,,,,,,,not available,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.66632884,10.32940814,,,checked
Citizens' Dialogues During the Royal Commission on the Future of Health Care in Canada,Citizens' Dialogues,Citizens' dialogues,Ad hoc,,,Citizens' Dialogues During the Royal Commission on the Future of Health Care in Canada,"As part of it's public inquiry into the health care system, the Royal Commission conducted a 12-session, nation-wide ""Citizens' Dialogue on the Future of Health Care in Canada"". Insights and responses from the public influenced the final report's recommendations.",,,,https://participedia.net/case/609,2002,Canada,Yes,National/Federal,"Canada (Bathurst, Montreal, Québec City, Ottawa, Toronto, Thunder Bay, Calgary, Regina, Vancouver)","The Commission on the Future of Health Care in Canada, the Canadian Policy Research Networks (CPRN), and Viewpoint Learning (a polling company). ",,"Academia,Government,Private sector",Health,,12,489,Single stage random selection (e.g. polling company recruitment),Randomly selected citizens contacted via phone survey,Phone,,,4,,,,,,,Video recordings of citizens dialogues.,No,,1,0,checked,Introductory reading material before 1st meeting,"Surveys (online/offline),Public consultations (online/offline)","Web-based consultation (10,000 participants), public opinion telephone survey (1,600 respondents)","Participants expressed strong support for the public health system's continuing to provide ""universal coverage"" and ""equal access.""
Participants preferred to increase public funding for the public health system and to reorganize the primary care system, rather than creating a parallel private health care system.
Participants were willing to pay higher taxes for the public health system, provided that the system operate with greater efficiency, transparency, and accountability. Participants supported appointment of a health system auditor and a health system ombusperson to improve accountability and responsiveness.
If higher taxes proved insufficient participants were willing to accept user fees or copayments to fund the system.
Participants expressed a willingness to use new information technologies and to adopt preventative health and wellness measures to lower costs and increase the efficiency of the public health care system.",36 Canada,,Implementation of a few recommendations (less than 50%),,,,,,,"Some have argued that Indigenous Peoples were insufficiently represented among Citizens' Dialogue participants and that, because Indigenous Peoples have unique health care issues, their specific circumstances and concerns were not addressed during the Citizens' Dialogue. ",,1300000,CAD,Funded by the Government of Canada,Face-to-face,,,,,,checked
Opportunities and limits of online democracy,Planning Cell,Planning Cell,Ad hoc,,,Opportunities and limits of online democracy,To discuss possible implementation of online democracy measures,,,,http://pzdb.jazzpis.space/cells/30,2002,Germany,Yes,Regional/State,Baden-Wurttemberg, Academy of Technology Assessment BaWü,,Government,Citizen engagement,,5,78,Two-stage random selection (e.g. civic lottery),,,,63.00%,5,,,,,,,,No,,2,,,,,,,29 Germany (in german),,,,,,,,,,,,,Funded by Federal Ministry of Education and Research,Face-to-face,,48.43721801,9.040637008,,,checked
Consensus conference: testing our genes,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference: testing our genes,"To discuss the ethical, societal and economical consequences of genetic diagnostics and testing.","Yes, a dedicated committee","Academics,NGO's","Providing expert knowledge,Ensuring balanced information,Design and facilitation,Oversight",https://web.archive.org/web/20081204065843/http://www.tekno.dk/subpage.php3?article=496&language=uk&category=11&toppic=kategori11,2002,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Technology,,1,14,Random selection (stages unclear),,,,,,12-14 weeks,Non-remunerated,,,,,,,,4,0,,,,,,not available,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.67508,10.3381593,,,checked
Albany Administration Centre Site Citizens' Jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Albany Administration Centre Site Citizens' Jury,To  give feedback on Albany City's Council request to relocate the Albany administration building approximately 1.4 km from the centre of Albany's Central Business District. The request has been declined by Western Australian state government department of of planning and infrastructure (DPI). Community opinion was necessary to solve the dispute.,"Yes, The Steering Group ","Government representatives,Business,NGO's","Ensuring balanced information,Oversight,Design and facilitation",http://21stcenturydeliberation.com/index.php?package=Initiatives&action=Link&file=albany_admin_centre.html,2002,Australia,Yes,Local Government,"Albany, Western Australia",21st Century Dialogue,http://21stcenturydeliberation.com,Private sector,Urban planning,,1,17,Two-stage random selection (e.g. civic lottery),"The Jury was selected through a process of random sampling. The WA Electoral Commission provided a random sample of 600 residents living in the Albany region. Invitations from the Minister were sent to the 600 strong sample, asking them to participate in a Citizens' Jury on the selection of the site for the Albany administration centre. Of those, 92 responded positively, and a further random sample was carried out to select the final 17 jurors. However, there were no jurors under the age of 25. This is probably because the steering group eventually decided to have a random rather than random stratified sample.",Post,Mayor,,,,,,Contributed presentations,,,"Regional media, streaming of proceedings",No,,1,0,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions",Q&A with participants,A live audience watched the proceedings of the jury and had a chance to ask questions,The jury decided that the advantages of the proposed administration centre in North Road outweigh any disadvantages of it being outside the city centre. They also suggested improving public transportation in both areas as well as introducing CItizens Juries more often in the policy making process,not available,checked,Implementation of all recommendations,,,,,,,,Some citizens were unhappy with the final decision and had less trust in it as anonymous individual scoring of options was used to make the final choice.,,,Budget of the the Albany Council and WA Planning Commission,Face-to-face,,-35.0247822,117.883608,Interesting example of how citizens jury used to solve a dispute between local and national public authorities,,checked
"Red-light district, residential areas and urban development",Planning Cell,Planning Cell,Ad hoc,,,"Red-light district, residential areas and urban development","To provide concrete solutions for central, district-specific concerns in the spatially burdened, ethnically densely populated neighborhoods of Basel. ",,,,http://pzdb.jazzpis.space/cells/31,2002,Germany,Yes,Local Government,Basel,BASE: Office for Applied Social Research and Development,http://www.base-salzburg.at/,Private sector,Urban planning,,1,25,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,2,,,,,,,30 Germany (in german),,,,,,,,,,,,,"Funded by the Federal Commission for Foreigners' Affairs (EKA), the Police and Military Department and the Department of Construction of the Canton of Basel-Stadt",Face-to-face,,49.916438,10.813103,,,checked
Citizens' panel on genetically modified crops (Beernem & Gembloux),Citizens' Jury,Citizens' panel,Ad hoc,,,GMOs in the field?,"Feed the public debate on genetically modified organisms (GMOs), inform the federal authorities about the criteria to be kept in mind with a view to the authorization or not of the marketing and cultivation of GMOs, and test a deliberative democracy tool at the municipal level.","Yes, 2 committees: Monitoring Committee (guarantees the procedural quality of the panels: method and independence) + Composition Committee (guarantees the quality and balance of the resource persons presented to citizens for their information, in terms of the range of issues and positions). See p.44 https://www.futuregenerations.be/sites/www.futuregenerations.be/files/200404_fgf_panelsdecitoyensogmauchamps2003.pdf#page=44","Academics,NGO's,Citizens,Expert practitioners,Government representatives","Design and facilitation,Oversight,Ensuring balanced information",https://www.futuregenerations.be/en/citizens-panel-gmo-crops-2003,2003,Belgium,Yes,National/Federal,"Beernem & Gembloux, Belgium",Foundation for Future Generations,https://www.futuregenerations.be/,Independant public benefit foundation,Health,checked,2,17,Two-stage random selection (e.g. civic lottery),"At Gembloux, two bursts of 150 letters sent in order to recruit the 12 required participants (the first failing to deliver a sufficient number of volunteers); in the end, only 7 people actually participated. In Beernem, 375 letters are sent but this only delivers an insufficient number of volunteers, so that an appeal to all the inhabitants is launched in order to reach the target of 12 participants; in the end, 10 people show up on the said day.",Post,"Minister,Specific govt department",1.00%,,5-6 weeks,Expenses covered,"Academics,Civil Society Organisations,Private Companies,Public Officials,Citizens,Public independant institution","Presented their views to the panelist citizens. 
The selection of these resource persons was made by the citizens, from a list proposed by an independent Composition committee. Despite the diverse list in terms of range of issues and positions, panelist citizens also asked for, and received, extra profiles to be added to the initial list (e.g. a philosopher).",,,"Outreach was ensured through: Public event for the disclosure of the citizens report. Media coverage. Dissemination of results. Later, dissemination of a publication that includes the citizens report, the detailed process but also all contributions by involved resource persons, to a wide range of decision-makers and stakeholders.",No,,4,10,,"Experts available at meetings for presentations and/or questions,Learning sessions,Participants can request information,Introductory reading material before 1st meeting","Advisory Committees,Focus groups,Stakeholder interviews","There were a number of interactions between the Composition committee (CC) and panelist citizens. First, focus evenings are organised. The transcripts of the focus evenings structured by themes are sent to the citizens and to the CC, which will have the task to propose resource persons in relation to these themes. Project evenings follow. Citizens establish questions, requests and proposals of resource persons to be invited.Finally, organisation evenings take place. Based on the proposals of the CC, citizens set the agenda for the 1st panel day.","A collective and consensual citizens report, later presented to the Federal Minister for Consumer Protection, Public Health and the Environment, the responsible Federal Public Service for Public Health, Safety of the Food Chain and the Environment, the general secretariat of the Biosafety Advisory Board (CCB), the Flemish Minister for the Environment and the municipal authorities of Beernem. On the Walloon side, neither the municipal authorities of Gembloux nor the Walloon Minister for the Environment were interested in receiving this opinion.",,checked,Public response to recommendations,,,,checked,"Participant exit survey,Process reflection by the organisers",,"Real struggle to involve citizens: two waves of mails were necessary in the first panel to recruit enough participants, and even there only 7 out of 12 citizens participate; in the second panel, a call to all inhabitants is launched in order to reach the objective of 12 participants.","Lessons learned from the initiative and description of the process are synthetised in the final publication. The panel has been described as a rare place of respectful dialogue, among citizens and experts but also among experts, on a controversial and often conflictual topic.",,,"Federal Public Service Public Health, Food Chain Safety and Environment and the Foundation for Future Generations",Face-to-face,,,,"Source : Vrydagh Julien, Devillers Sophie, Talukder David et al., « Les mini-publics en Belgique (2001-2018) : expériences de panels citoyens délibératifs », Courrier hebdomadaire du CRISP, 2020/32-33 (n° 2477-2478), p. 5-72.",https://s3.amazonaws.com/participedia.prod/1e624486-9796-48c8-9345-cd8739844f75,
STADT+UM+LAND 2030 Brunswick Region ,Planning Cell,Planning Cell,Ad hoc,,,STADT+UM+LAND 2030 Brunswick Region ,To develop future models and strategies for the Greater Brunswick area under the conditions of demographic change.,,,,http://pzdb.jazzpis.space/cells/24,2003,Germany,Yes,Local Government,Brunswick,Research Network CITY + UM + LAND 2030 Region Braunschweig,,,Urban planning,,5,94,Two-stage random selection (e.g. civic lottery),,,,,4,,,,,,,,No,,4,,,,,,,13 Germany (in german),,,,,,,,,,,,,Budget of the organization of transport and planning of the region,Face-to-face,,52.2646577,10.5236066,,,checked
Neutorgasse citizens' panel,Citizens' Jury,Citizens' Panel,Ad hoc,,,Neutorgasse citizens' panel,To discuss the future development plans of Neutorgasse,,,,https://www.partizipation.at/228.98.html http://pzdb.jazzpis.space/cells/26,2003,Austria,Yes,Local Government,Graz,Forum B,,,Urban planning,,4,65,Random selection (stages unclear),,,,,,,,,,,,,No,,2,,,,,,,not available,,,,,,,,,,,45000,EUR,Funded by the City of Graz,Face-to-face,,47.0708678,15.4382786,,,checked
Consensus conference on genetic data,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference on genetic data,"To discuss policy issues
related to genetic data.","Yes, an expert panel","Expert practitioners,Academics",Providing expert knowledge,https://www.oeaw.ac.at/ita/en/projects/consensus-conference/overview/,2003,Austria,Yes,National/Federal,Austria,Communication Matters,,Private sector,Technology,,1,12,Two-stage random selection (e.g. civic lottery),"Invitations were sent to a random
selection of 4000 people, 105 of whom submitted letters of application. From these, 12
people were finally selected according to demographic criteria",Post,,,7,,,,,,,"Public and media attention for the event was very poor. Apart from observers with a
professional interest and participants immediately involved, only interested visitors attended
the press conference. Just as small was the event’s resonance in the mass media, the ORF
was the only media group to take any real interest in the conference. Highlights included a
story in the ORF late news and a background report in an ORF radio program. Also, the
ORF Internet platform for science news, involved in the broad information campaign on
science and technology, covered the event with four reports and two commentaries. Much
feebler was media reporting beyond the ORF. The private print media corporations took
little notice. Online research resulted in five articles in three daily newspapers and about an
equal number in more specialized journals",No,,5,10,,"Learning sessions,Experts available at meetings for presentations and/or questions",,,,not available,,,,,,checked,Comissioned independent evaluation,https://journals.sagepub.com/doi/pdf/10.1177/0963662506058383,,"As all evidence demonstrates, political decision-makers never took notice of the event.
While the citizens’ recommendations had been passed to parliament with much fanfare, the
issue was never discussed or even mentioned in parliamentary deliberations. Nor were
administrative policymakers ever systematically confronted with the results of the deliberative exercise. Furthermore, at that time, there were virtually no legislative projects upon
which the consensus conference could have had any effect.",,,Budget of the Austrian Council—Rat fur Forschung und Technologieentwicklung,Face-to-face,,47.59397,14.12456,,,checked
